1;315;27500
2;330;24625
3;346;21375
4;362;17726
5;379;13678
6;357;9354
7;156;6498
8;117;7756
9;119;9840
10;124;11865
11;130;13765
12;136;15515
13;142;17115
14;149;18565
15;156;19840
16;163;20940
17;171;21865
18;179;22590
19;187;23115
20;196;23440
21;205;23540
22;215;23415
23;225;23040
24;236;22415
25;247;21515
26;259;20340
27;271;18865
28;284;17090
29;297;14990
30;300;12590
31;291;10147
32;215;8219
33;169;8048
34;160;8874
35;161;9887
36;168;10863
37;175;11668
38;183;12293
39;192;12718
40;201;12918
41;210;12895
42;220;12645
43;228;12145
44;236;11454
45;243;10558
46;247;9501
47;228;8413
48;192;7873
49;175;8164
50;161;8834
